Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777489293,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777489294,13,,Aggregated,0.000000,0.000000,84,92,93,100,100,110,110,110,110,110,110,13,0,84,86.4975862308571,67.85199600017222,111.64822299997468,95315.38461538461
1777489295,26,,Aggregated,0.000000,0.000000,77,84,89,92,100,100,110,110,110,110,110,30,0,77,75.02331083336078,29.46202800012543,111.64822299997468,114753.2
1777489296,39,,Aggregated,13.000000,0.000000,77,88,92,100,110,120,120,120,120,120,120,55,0,77,74.64179581817338,25.39997899930313,122.71079899983306,160688.25454545455
1777489297,52,,Aggregated,14.000000,0.000000,70,79,88,91,110,110,120,120,120,120,120,88,0,70,68.33896394319213,25.39997899930313,122.71079899983306,135805.5
1777489298,65,,Aggregated,16.333333,0.000000,68,79,87,90,110,120,120,130,130,130,130,128,0,65,66.18946202348042,24.075291999906767,132.22217700058536,145675.078125
1777489299,78,,Aggregated,19.500000,0.000000,66,79,87,91,110,120,120,130,140,140,140,170,0,65,66.06285762356814,24.075291999906767,137.0512499997858,149429.45882352942
1777489300,91,,Aggregated,24.000000,0.000000,62,74,82,88,110,120,120,130,140,140,140,226,0,61,62.86637293364988,24.075291999906767,137.0512499997858,153506.3185840708
1777489301,104,,Aggregated,26.833333,0.000000,59,71,79,85,100,120,120,130,140,140,140,279,0,59,60.96710170252445,24.075291999906767,137.0512499997858,158821.9283154122
1777489302,117,,Aggregated,29.428571,0.000000,58,71,80,88,100,120,130,140,170,170,170,345,0,58,61.44841713623359,24.075291999906767,165.86641000048985,158689.8956521739
1777489303,130,,Aggregated,33.000000,0.000000,58,71,81,89,110,120,140,150,170,170,170,414,0,58,61.95557227294408,24.075291999906767,165.86641000048985,163775.36714975844
1777489304,143,,Aggregated,36.111111,0.000000,57,69,79,87,110,120,140,150,170,170,170,488,0,57,60.35776274793683,23.779889999786974,165.86641000048985,161691.54098360657
1777489305,156,,Aggregated,39.000000,0.000000,57,70,80,87,110,120,140,150,170,170,170,567,0,57,60.62793875660219,23.697053999967466,165.86641000048985,162726.31393298059
1777489306,169,,Aggregated,44.500000,0.000000,56,69,79,86,110,130,140,150,170,170,170,650,0,56,60.94032341998872,23.697053999967466,165.86641000048985,162041.64
1777489307,182,,Aggregated,50.400000,0.000000,57,69,80,88,110,130,140,150,170,170,170,748,0,57,61.98573564303482,23.697053999967466,165.86641000048985,163389.10160427808
1777489308,195,,Aggregated,57.200000,0.000000,59,71,81,89,110,130,150,150,190,190,190,852,0,58,63.94320385327415,23.697053999967466,190.29032900016318,162493.34507042254
1777489309,208,,Aggregated,62.800000,0.000000,61,75,87,94,120,130,150,170,230,230,230,961,0,61,67.6244313246474,23.697053999967466,232.15953900034947,162861.90634755464
1777489310,221,,Aggregated,68.200000,0.000000,63,77,91,98,120,140,160,180,230,250,250,1068,0,63,69.99053911796966,23.697053999967466,245.28041600024153,163009.4382022472
1777489311,234,,Aggregated,75.500000,0.000000,67,86,100,110,140,200,280,320,410,420,420,1187,0,67,82.64300037404158,23.697053999967466,421.1891819995799,166047.0193765796
